ID,Titre,Prix,Date de publication,Année,Type de carburant,Transmission,Créateur,Type de véhicule,Secteur,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Équipements,Ville du vendeur,Dossier d'images
15,Hyundai Tucson Diesel Automatique 2023,358 000 DH,2025-03-01 15:33:26,2023,Diesel,Automatique,SIARACASH.MAShopBadge Icon,"Voitures d'occasion, à vendre",Anfa,20 000 - 24 999,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,15_Hyundai_Tucson_Diesel_Automatique_2023
16,HYUNDAI TUCSON PRESTIGE 1.6 CRDI 6CV TTES OPTIONS,224 000 DH,2025-03-01 15:37:27,2020,Diesel,Manuelle,AUTOMOBILES TINGISShopBadge Icon,"Voitures d'occasion, à vendre",Centre,90 000 - 94 999,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Tanger,16_HYUNDAI_TUCSON_PRESTIGE_16_CRDI_6CV_TTES_OPTIONS
17,Renault Megane Diesel Manuelle 2019 à Casablanca,178 000 DH,2025-03-01 15:33:27,2019,Diesel,Manuelle,SIARACASH.MAShopBadge Icon,"Voitures d'occasion, à vendre",Autre secteur,110 000 - 119 999,Renault,Megane,5,WW au Maroc,Oui,6 CV,Bon,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,17_Renault_Megane_Diesel_Manuelle_2019_à_Casablanca
18,Mitsubishi L200 fin 2020,Prix non spécifié,2025-03-01 15:36:27,2020,Diesel,Manuelle,Garage MedyounaShopBadge Icon,"Voitures d'occasion, à vendre",Route d'Agadir - Essaouira,160 000 - 169 999,Mitsubishi,L200,5,WW au Maroc,Oui,10 CV,Très bon,N/A,Marrakech,18_Mitsubishi_L200_fin_2020
19,Troc pour location a l’aéroport Mohammed 5,Prix non spécifié,2025-03-01 15:32:27,N/A,N/A,N/A,vog car,"Voitures de location, à louer",Casablanca Finance City,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Casablanca,19_Troc_pour_location_a_laéroport_Mohammed_5
20,BMW X6 Pack M,880 000 DH,2025-03-01 15:34:27,2023,Diesel,Automatique,otoclicShopBadge Icon,"Voitures d'occasion, à vendre",Ain Sebaa,50 000 - 54 999,BMW,X6,5,WW au Maroc,Oui,12 CV,Très bon,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Casablanca,20_BMW_X6_Pack_M
21,Dacia Dokker Stepway 2019,Prix non spécifié,2025-03-01 15:36:27,2019,Diesel,Manuelle,ParticulierShopBadge Icon,"Voitures d'occasion, à vendre",Autre secteur,110 000 - 119 999,Dacia,Dokker,3,WW au Maroc,Non,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Meknès,21_Dacia_Dokker_Stepway_2019
22,Suzuki Swift Essence Automatique 2024 à Casablanca,163 000 DH,2025-03-01 15:32:27,2024,Essence,Automatique,Stellantis You CasablancaShopBadge Icon,"Voitures d'occasion, à vendre",Anfa,20 000 - 24 999,Suzuki,Swift,5,WW au Maroc,Oui,7 CV,Excellent,N/A,Casablanca,22_Suzuki_Swift_Essence_Automatique_2024_à_Casablanca
23,TIGUAN R-LINE BLACK 20.000km 2023 DOUANE 2024 FULL,568 000 DH,2025-03-01 15:35:28,2023,Diesel,Automatique,AUTOMOBILES TINGISShopBadge Icon,"Voitures d'occasion, à vendre",Centre,20 000 - 24 999,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Neuf,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Sièges Cuir, Système De Navigation/GPS, Toit Ouvrant, Verrouillage Centralisé À Distance, Vitres Électriques",Tanger,23_TIGUAN_R-LINE_BLACK_20000km_2023_DOUANE_2024_FULL
24,Renault Clio Diesel Automatique 2019 à Agadir,Prix non spécifié,2025-03-01 15:36:28,2019,Diesel,Automatique,AL moukaouama autoShopBadge Icon,"Voitures d'occasion, à vendre",Av Mokawama,70 000 - 74 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Excellent,"ABS, Airbags, CD/MP3/Bluetooth, Caméra De Recul, Climatisation, ESP, Jantes Aluminium, Limiteur De Vitesse, Ordinateur De Bord, Radar De Recul, Régulateur De Vitesse, Système De Navigation/GPS, Verrouillage Centralisé À Distance, Vitres Électriques",Agadir,24_Renault_Clio_Diesel_Automatique_2019_à_Agadir
